t,x,y,id,
13.1805,3.15491,4.56144,14,
13.181,3.1342,4.54727,14,
13.1815,3.09225,4.55013,14,
13.182,3.10821,4.55419,14,
13.1825,3.09762,4.54614,14,
13.183,3.1059,4.5251,14,
13.1835,3.10608,4.54411,14,
13.184,3.12795,4.53773,14,
13.1845,3.13581,4.55006,14,
13.185,3.15639,4.55779,14,
13.1855,3.12785,4.54324,14,
13.186,3.13947,4.53747,14,
13.1865,3.11421,4.54124,14,
13.187,3.12287,4.52673,14,
13.1875,3.12651,4.52757,14,
13.188,3.09539,4.53186,14,
13.1885,3.08326,4.53181,14,
13.189,3.11313,4.52821,14,
13.1895,3.11734,4.53048,14,
13.19,3.12057,4.53969,14,
13.1905,3.13433,4.53842,14,
13.191,3.15926,4.5618,14,
13.1915,3.16183,4.56268,14,
13.192,3.18066,4.57082,14,
13.1925,3.18053,4.57192,14,
13.193,3.19028,4.57099,14,
13.1935,3.1549,4.56851,14,
13.194,3.17818,4.56319,14,
13.1945,3.19856,4.57966,14,
13.195,3.17072,4.56621,14,
13.1955,3.17655,4.57288,14,
13.196,3.15372,4.56438,14,
13.1965,3.15616,4.57384,14,
13.197,3.14272,4.56943,14,
13.1975,3.13896,4.57614,14,
13.198,3.14374,4.58436,14,
13.1985,3.13638,4.57542,14,
13.199,3.15396,4.57682,14,
13.1995,3.15303,4.58167,14,
13.2,3.13425,4.57179,14,
13.2005,3.1151,4.56871,14,
13.201,3.12218,4.56804,14,
13.2015,3.13024,4.55392,14,
13.202,3.14781,4.56219,14,
13.2025,3.14389,4.5446,14,
13.203,3.14392,4.56034,14,
13.2035,3.15107,4.57312,14,
13.204,3.14484,4.5499,14,
13.2045,3.15164,4.57651,14,
13.205,3.17709,4.57047,14,
13.2055,3.19439,4.56504,14,
13.206,3.21113,4.56286,14,
13.2065,3.21061,4.55168,14,
13.207,3.19201,4.54986,14,
13.2075,3.16641,4.55822,14,
13.208,3.14299,4.55163,14,
13.2085,3.11015,4.53349,14,
13.209,3.11197,4.54906,14,
13.2095,3.10056,4.53914,14,
13.21,3.1114,4.53233,14,
13.2105,3.1085,4.52348,14,
13.211,3.10587,4.53208,14,
13.2115,3.11814,4.54547,14,
13.212,3.12769,4.55845,14,
13.2125,3.12928,4.55025,14,
13.213,3.1037,4.53277,14,
13.2135,3.10961,4.51134,14,
13.214,3.09961,4.51685,14,
13.2145,3.11083,4.534,14,
13.215,3.08575,4.54494,14,
13.2155,3.06486,4.52532,14,
13.216,3.04089,4.54626,14,
13.2165,3.03345,4.54197,14,
13.217,3.0314,4.56851,14,
13.2175,3.00514,4.53027,14,
13.218,2.9929,4.54322,14,
13.2185,3.02323,4.56054,14,
13.219,3.02396,4.57649,14,
13.2195,3.03205,4.56498,14,
13.22,3.02465,4.55693,14,
13.2205,3.02786,4.55421,14,
13.221,3.0332,4.54976,14,
13.2215,3.02616,4.55663,14,
13.222,3.02247,4.56286,14,
13.2225,3.02157,4.55625,14,
13.223,3.01084,4.53922,14,
13.2235,3.00517,4.55531,14,
13.224,3.0172,4.55327,14,
13.2245,3.02417,4.54481,14,
13.225,3.02633,4.5492,14,
13.2255,3.03659,4.5276,14,
13.226,3.04991,4.51976,14,
13.2265,3.03975,4.52502,14,
13.227,3.05985,4.51236,14,
13.2275,3.04572,4.53298,14,
13.228,3.06364,4.50833,14,
13.2285,3.06463,4.51661,14,
13.229,3.04833,4.5079,14,
13.2295,3.05926,4.50516,14,
13.23,3.06203,4.52728,14,
13.2305,3.05505,4.53041,14,
13.231,3.05142,4.52691,14,
13.2315,3.0599,4.52798,14,
13.232,3.06758,4.53396,14,
13.2325,3.06534,4.51417,14,
13.233,3.07417,4.51498,14,
13.2335,3.08326,4.50117,14,
13.234,3.06081,4.53573,14,
13.2345,3.05109,4.53477,14,
13.235,3.0338,4.53414,14,
13.2355,3.03419,4.53493,14,
13.236,3.04582,4.52528,14,
13.2365,3.05907,4.52144,14,
13.237,3.05337,4.5456,14,
13.2375,3.04205,4.52867,14,
13.238,3.04279,4.52839,14,
13.2385,3.04927,4.50756,14,
13.239,3.04608,4.4993,14,
13.2395,3.05096,4.50448,14,
13.24,3.05501,4.5306,14,
13.2405,3.05438,4.53838,14,
13.241,3.04556,4.5341,14,
13.2415,3.02858,4.5669,14,
13.242,3.03079,4.57304,14,
13.2425,3.02101,4.57546,14,
13.243,3.01831,4.57548,14,
13.2435,3.00928,4.5634,14,
13.244,3.02233,4.57064,14,
13.2445,3.01529,4.5679,14,
13.245,3.01429,4.5739,14,
13.2455,3.00913,4.5699,14,
13.246,3.02803,4.59107,14,
13.2465,3.02165,4.58634,14,
13.247,3.01149,4.56008,14,
13.2475,3.01404,4.56027,14,
13.248,3.022,4.55598,14,
13.2485,3.02235,4.56914,14,
13.249,3.02332,4.57054,14,
13.2495,3.0519,4.52563,14,
13.25,3.06201,4.51956,14,
13.2505,3.06521,4.52208,14,
13.251,3.07157,4.52622,14,
13.2515,3.08504,4.51446,14,
13.252,3.08807,4.53523,14,
13.2525,3.09844,4.53449,14,
13.253,3.07866,4.54057,14,
13.2535,3.0734,4.54492,14,
13.254,3.08616,4.5573,14,
13.2545,3.0882,4.5462,14,
13.255,3.11037,4.53585,14,
13.2555,3.12517,4.5467,14,
13.256,3.13505,4.55359,14,
13.2565,3.14225,4.56319,14,
13.257,3.1123,4.53013,14,
13.2575,3.08955,4.53618,14,
13.258,3.1061,4.53842,14,
13.2585,3.1107,4.5312,14,
13.259,3.09994,4.5326,14,
13.2595,3.10234,4.53469,14,
13.26,3.10917,4.54748,14,
13.2605,3.12008,4.53853,14,
13.261,3.09975,4.52546,14,
13.2615,3.1123,4.53441,14,
13.262,3.0929,4.53168,14,
13.2625,3.08131,4.55843,14,
13.263,3.06949,4.54299,14,
13.2635,3.05212,4.52571,14,
13.264,3.04528,4.53753,14,
13.2645,3.03977,4.52288,14,
13.265,3.04424,4.52227,14,
13.2655,3.04642,4.5365,14,
13.266,3.06693,4.55981,14,
13.2665,3.04624,4.5364,14,
13.267,3.0417,4.53296,14,
13.2675,3.04149,4.55536,14,
13.268,3.04867,4.5603,14,
13.2685,3.03506,4.55212,14,
13.269,3.02555,4.56627,14,
13.2695,3.0269,4.56376,14,
13.27,3.01898,4.55673,14,
13.2705,3.02152,4.55362,14,
13.271,3.04076,4.55913,14,
13.2715,3.04333,4.55733,14,
13.272,3.04799,4.56042,14,
13.2725,3.04169,4.56461,14,
13.273,3.0375,4.55473,14,
13.2735,3.03534,4.54252,14,
13.274,3.04502,4.56115,14,
13.2745,3.04887,4.55246,14,
13.275,3.03555,4.56357,14,
13.2755,3.01597,4.54056,14,
13.276,3.00831,4.56504,14,
13.2765,2.99954,4.5783,14,
13.277,3.00807,4.56661,14,
13.2775,3.02393,4.55369,14,
13.278,3.01906,4.58017,14,
13.2785,3.02359,4.5844,14,
13.279,3.02248,4.58477,14,
13.2795,3.02131,4.58699,14,
13.28,3.0097,4.56838,14,
13.2805,3.02829,4.529,14,
13.281,3.03909,4.5464,14,
13.2815,3.01981,4.5421,14,
13.282,3.0106,4.54592,14,
13.2825,3.01457,4.54823,14,
13.283,3.02605,4.55783,14,
13.2835,3.02132,4.5377,14,
13.284,3.03629,4.52256,14,
13.2845,3.04098,4.52225,14,
13.285,3.05912,4.52556,14,
13.2855,3.04849,4.52909,14,
13.286,3.05394,4.54221,14,
13.2865,3.0573,4.53153,14,
13.287,3.06494,4.52528,14,
13.2875,3.09256,4.52046,14,
13.288,3.06764,4.5113,14,
13.2885,3.0512,4.5084,14,
13.289,3.04966,4.4872,14,
13.2895,3.05029,4.46413,14,
13.29,3.05782,4.47082,14,
13.2905,3.07551,4.47466,14,
13.291,3.10301,4.45506,14,
13.2915,3.10213,4.4549,14,
13.292,3.11175,4.46709,14,
13.2925,3.09676,4.46746,14,
13.293,3.08738,4.46455,14,
13.2935,3.11495,4.48774,14,
13.294,3.07247,4.47897,14,
13.2945,3.07827,4.48891,14,
13.295,3.05948,4.50293,14,
13.2955,3.04677,4.49503,14,
13.296,3.02932,4.51659,14,
13.2965,3.05069,4.50643,14,
13.297,3.06116,4.51669,14,
13.2975,3.07275,4.49938,14,
13.298,3.06706,4.4981,14,
13.2985,3.08545,4.52545,14,
13.299,3.06891,4.53925,14,
13.2995,3.06725,4.53653,14,
13.3,3.09967,4.534,14,
13.3005,3.10712,4.53963,14,
13.301,3.13066,4.54591,14,
13.3015,3.15019,4.54664,14,
13.302,3.13996,4.54154,14,
13.3025,3.13808,4.54294,14,
13.303,3.16142,4.51617,14,
13.3035,3.14268,4.49592,14,
13.304,3.13027,4.52934,14,
13.3045,3.09884,4.49789,14,
13.305,3.09577,4.48703,14,
13.3055,3.07891,4.47695,14,
13.306,3.09097,4.51329,14,
13.3065,3.09632,4.50329,14,
13.307,3.07773,4.49951,14,
13.3075,3.09873,4.51774,14,
13.308,3.10006,4.50967,14,
13.3085,3.11387,4.5276,14,
13.309,3.10438,4.49772,14,
13.3095,3.09773,4.49492,14,
13.31,3.10545,4.49573,14,
13.3105,3.10092,4.48315,14,
13.311,3.10167,4.47124,14,
13.3115,3.09631,4.47592,14,
13.312,3.08558,4.47676,14,
13.3125,3.08166,4.50473,14,
13.313,3.1145,4.5187,14,
13.3135,3.10591,4.5113,14,
13.314,3.10417,4.50392,14,
13.3145,3.1077,4.51379,14,
13.315,3.11751,4.51379,14,
13.3155,3.11226,4.52641,14,
13.316,3.1008,4.52884,14,
13.3165,3.08209,4.51581,14,
13.317,3.07374,4.48112,14,
13.3175,3.09133,4.44762,14,
13.318,3.0831,4.47053,14,
13.3185,3.06765,4.49277,14,
13.319,3.06372,4.53067,14,
13.3195,3.07111,4.53832,14,
13.32,3.05555,4.54005,14,
13.3205,3.07012,4.54457,14,
13.321,3.07148,4.53842,14,
13.3215,3.07174,4.50867,14,
13.322,3.07281,4.51525,14,
13.3225,3.10058,4.52113,14,
13.323,3.07453,4.50795,14,
13.3235,3.09118,4.53767,14,
13.324,3.078,4.52212,14,
13.3245,3.096,4.53035,14,
13.325,3.09868,4.50679,14,
13.3255,3.07975,4.50821,14,
13.326,3.08672,4.49758,14,
13.3265,3.10667,4.50108,14,
13.327,3.10864,4.54861,14,
13.3275,3.1035,4.54454,14,
13.328,3.11386,4.55279,14,
13.3285,3.11589,4.55147,14,
